#,German,English,Srpski
1,reich,rich,богат
2,das Flugzeug; -e,the airplane,авион
3,die Gefahr; -en,"the danger, risk","опасност, ризик"
4,absolut,absolute ('a_'),Абсолуте ('А_')
5,bekannt,"famous, known, noted (for sth)","позната, позната, примећена (за стх)"
6,tief,1. deep. 2. low,1. Дубоко. 2. низак
7,regeln,"to rule, regulate, adjust, control","да влада, регулише, подешава, контролише"
8,die Bank; -en,the bank,банка
9,der Professor; -en,the professor,професор
10,der Partner; -s,the partner ('Gesellschafter' or ...),Партнер ('Геселлсцхафтер' или ...)
11,das Opfer; -,"the sacrifice, victim, casualty","Жртва, жртва, жртва"
12,der See; -n,the lake,језеро
13,die See; -n,the sea ('Meer' or ...),море ('меер' или ...)
14,das Meer; -e,the sea ('See' or ...),"море (""види"" или ...)"
15,erreichen,"to achieve, reach, attain, accomplish, gain, obtain (not 'erzielen')","Да бисте постигли, досегну, постигнуте, постигнуте, добијени, добијали (не ""Ерзиелен"")"
16,die Hochzeit; -en,the wedding,венчање
17,der Geburtstag; -e,the birthday,рођендан
18,"der Hut; -""e",the hat,шешир
19,die Liste; -n,the list,листа
20,die Karte; -n,the card,картица
21,die Gesellschaft; -en,the society,Друштво
22,lügen,"to lie, to say falsely","да лажем, да лажно кажем"
23,die Kirche; -n,the church,црква
24,traurig,sad,тужан
25,die Kontrolle; -n,"the inspection, monitoring, examination, control (K_)","Инспекција, надзор, испитивање, контрола (К_)"
26,das Zeichen; -,the sign,знак
27,das Foto; -s,the photo,Фотографија
28,seltsam,"odd, peculiar, strange ('merkwürdig' or ...)","непаран, осебујан, чудан ('мерквардиг' или ...)"
29,sauber,clean (not 'rein'),"чисто (није ""поново"")"
30,das Aussehen,"the physical appearance, looks, look","физички изглед, изгледа, погледајте"
31,aussehen,to look like,да изгледа као
32,die Hoffnung; -en,the hope,нада
33,"der Ball; -""e",the ball (as in a dance event),лопта (као у плесном догађају)
34,der Wein; -e,the wine,вино
35,die Szene; -n,the scene,сцена
36,das Vergnügen; -,"the pleasure, the delight","задовољство, задовољство"
37,irgendwann,sometime (i~),некад (и ~)
38,stechen,"to stick, stab, sting, prick, bite (mosquito)","да се држи, убоде, убоде, убод, уједа (комарац)"
39,neun,nine,девет
40,drehen,to turn smth ('wenden' or ...),"да окрене смтх (""Венден"" или ...)"
41,die Tante; -n,the aunt,тетка
42,werfen,to throw,бацити
43,"der Fuß; -""e",the foot,стопало
44,gegenüber,across (from),преко пута)
45,ungefähr,"about, roughly, approximately, approximate (etwa, or ...)","отприлике, отприлике, приближно, приближно (етва или ...)"
46,übrigens,by the way,између осталог
47,der Mut,the courage (no plural),храброст (без множине)
48,sauer,"sour, annoyed","кисело, нервиран"
49,das Geheimnis; -se,the secret,тајна
50,entfernt,"remote, distant, away, removed","даљински, удаљени, далеко, уклоњени"
51,statt,instead of ('s_'),уместо ('с_')
52,das Bein; -e,the leg,нога
53,furchtbar,"terrible, awful, dreadful ('f_')","Грозно, грозно, грозно ('ф_')"
54,schuldig,guilty,крив
55,die Gruppe; -n,the group,група
56,der Amerikaner; -,the American person,Америчка особа
57,"der Hals; -""e",the neck,врат
58,nämlich,namely,Наиме
59,der Besuch; -e,the visit,посета
60,wohnen,to live (in a place),да живи (на месту)
61,lieb,"dear (teuer, liebe, or ...)","Драги (Теуер, Лиебе, или ...)"
62,persönlich,personal,лични
63,die Entscheidung; -en,the decision,одлука
64,interessant,interesting,занимљив
65,passen,"to fit, to suit","да се уклопи, да одговара"
66,der Wind; -e,the wind,ветар
67,der Polizist; -en; -en,the male police officer,мушки полицајац
68,die Sekunde; -n,the second,друга
69,beweisen,"to prove, substantiate, provide evidence (for sth) ('b_')","Да бисте доказали, доказали, пружају доказе (за стх) ('б_')"
70,verraten,"to betray, give away (one's cover) (betrügen, or ...)","да се изда, дај (нечија насловница) (Бетруген или ...)"
71,lagern,"to store, camp","за складиштење, камп"
72,kaputt,broken,сломљен
73,"das Dorf; -""er",the village,село
74,"das Glas; -""er",the glass,стакло
75,nervös,nervous,нервозан
76,zuhause,at home ('z_'),код куће ('з_')
77,die Firma; die Firmen,"the company, the enterprise","Компанија, Ентерприсе"
78,die Lust,the desire (to do sth.); the passion (no plural),жеља (да радим стх.); Страст (без множине)
79,der Blick; -e,"the glimpse, sight, glance, look, view","поглед, вид, поглед, гле, поглед"
80,süß,sweet,сладак
81,öffnen,to open ('ö_'),отворити ('о_')
82,gehören,to belong to (+ dat.),да припадају (+ дат.)
83,nachts,at night ('bei Nacht' or ...),ноћу ('беи нацхт' или ...)
84,der Meter; -,the meter,метар
85,wunderschön,"gorgeous, beautiful, wonderful","прекрасно, лепо, дивно"
86,antworten,"to answer (beantworten, or ...)",да одговори (беантвортен или ...)
87,"das Loch; -""er",the hole,рупа
88,besuchen,to visit,посетити
89,entlang,"along, alongside","заједно, поред"
90,die Freude; -n,the joy,радост
91,geliebt,beloved,вољен
92,die Insel; -n,the island,острво
93,das Fleisch,the meat (no plural),месо (без множине)
94,der Schmerz; -en,the pain,бол
95,die Zeitung; -en,the newspaper,новине
96,erkennen,"to recognise, to realise","да препознате, да схватите"
97,das Gebäude; -,the building,Зграда
98,das Messer; -,the knife,нож
99,der Kontakt; -e,the contact,контакт
100,schreien,"to scream, to shout","да вришти, да виче"
101,"der Rat; -""e","the advice, counsel (Ratschlag, Beratung, or ...)","Савет, адвокат (Ратсцхлаг, Бератунг, или ...)"
102,die Aufmerksamkeit; -en,"the attention, interest, attentiveness","Пажња, интересовање, пажљивост"
103,heiß,hot,топло
104,pro,per,по
105,die Lage; -n,"1. the location, position. 2. the situation","1. Локација, положај. 2. Ситуација"
106,das Schicksal; -e,the fate,судбина
107,der Punkt; -e,"the dot, the period","тачка, период"
108,ansehen,to look at (sb/sth) ('anse_'),да погледам (сб / стх) ('ансе_')
109,der Witz; -e,the joke,Виц
110,diesmal,this time,овај пут
111,ewig,"forever (immer, or ...)",заувек (умамљен или ...)
112,"der Unfall; -""e",the accident,незгода
113,der Hunger,the hunger (no plural),глад (без множине)
114,die Kamera; -s,the camera ('K_'),камера ('к_')
115,das Taxi; -s,the taxi,такси
116,der Tee,the tea (no plural),чај (без множине)
117,das Haar; -e,the hair,коса
118,teilen,1. to divide. 2. to share,1. Поделити. 2. да се дели
119,der Bus; -se,"the bus (Autobus, or ...)","Аутобус (аутобус, или ...)"
120,der Richter; -,the judge,судија
121,mitnehmen,to take along,да узмемо заједно
122,das Lied; -er,the song,песма
123,drinnen,inside there,унутра
124,der Computer; -,the computer,компјутер
125,verstecken,to hide (sth) (not 'verbergen'),да се сакрије (стх) (не 'верберген')
126,das Verstecken,the hide and seek,кожа и тражење
127,die Königin; -nen,the queen,краљица
128,der Bericht; -e,the report,извештај
129,miteinander,"with one another, together","једно са другим, заједно"
