RedniBroj,Takson,Brojnost,Pokrovnost,Spratovnost,Broj_snimka,pokrovnost_snimka_po_zonama,Datum,Lokalitet,Vlažnost_Kojić1997,Kiselost_Kojić1997,Azot_Kojić1997,Svetlost_Kojić1997,Temperatura_Kojić1997,sintaksonomski element,LIGHT_Tichy_etal2023,TEMPERATURE_Tichy_etal2023,MOISTURE_Tichy_etal2023,REACTION_Tichy_etal2023,NUTRIENTS_Tichy_etal2023,SALINITY_Tichy_etal2023
1,Orchis purpurea,2,2,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
2,? Festuca sp.,4,6,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
3,Polygala comosa,1,1,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,1,4,1,4,3,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8,5.6,x,8,2.4,0
4,Teucrium chamaedrys,4,4,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,1,4,1,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.4,6.5,2.6,8,1.6,0
5,Carex halleriana,2,2,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,1,4,2,3,4,nema,x,x,2.8,7.6,2.8,0
6,Carlina vulgaris,1,1,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,2,4,2,3,4,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",7.6,5,3.9,7,2.6,0
7,Chrysopogon gryllus,4,5,C,1,C-100%,23.4.2023,Svrljiške planine - Moklište,2,3,2,4,5,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.5,x,3.8,7.3,3,0
8,Anacamptis morio subsp. caucasica,2,2,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
9,Fraxinus ornus,1,2,B2,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,2,4,2,3,4,"1,1 - Klasa Querco-Fagetea Br.-Bl. et Vlieg. 1937: listopadne šume i šibljaci na bogatijem neutralnom, baznom ili slabo kiselom zemljištu",x,x,3.9,7.6,3.4,0
10,Helleborus odorus,1,1,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,3,1,2,3,4,nema,5,7.3,4.5,7,5,0
11,Crataegus monogyna,1,2,B2,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,3,4,2,4,3,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",7,x,4.4,x,x,0
12,Rosa canina,1,2,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,3,3,2,3,3,"1,15 - Red Prunetalia spinosae R.Tx. 1952: Vegetacija šibljaka sa dominacijm vrsta roda Prunus",7.5,x,x,7,x,0
13,Euphorbia myrsinites,1,2,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,0,0,0,0,0,nema,8.8,6.2,3.3,7,2,0
14,Teucrium chamaedrys,4,5,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,1,4,1,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.4,6.5,2.6,8,1.6,0
15,Thymus sp,3,4,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
16,Sedum rubens,1,2,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,0,0,0,0,0,nema,7.5,7.4,2.8,5,2.8,0.2
17,Ranunculus millefoliatus,1,2,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,0,0,0,0,0,nema,8,7.2,x,7.3,3.8,0
18,? Festuca sp.,4,5,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
19,Aethionema saxatile,1,1,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,1,4,2,4,4,nema,8.4,x,2.2,8,1.6,0
20,Stipa capillata,2,3,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,1,4,2,5,5,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",8.2,6.5,2.4,8,2,0
21,Chrysopogon gryllus,2,3,C,2,B2 - 10%; C - 70%; C1 - 30%,23.4.2023,Svrljiške planine - Moklište-Donji Rin,2,3,2,4,5,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.5,x,3.8,7.3,3,0
22,Orchis simia,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,4,2,4,4,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,3.6,8.2,2.7,0
23,Ophrys grammica,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
24,Orchis purpurea,2,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
25,Artemisia annua,4,6,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,3,4,4,4,nema,8.3,6.8,4.1,6.6,5.8,0.2
26,Globularia cordifolia,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,5,1,5,2,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",9,3.8,3.6,9,1.5,0
27,Carex caryophyllea,4,4,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
28,Fragaria viridis,2,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,4,2,3,4,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",6.8,x,3.7,7.6,3.4,0.2
29,Satureja kitaibelii,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
30,Juniperus communis,1,3,B2,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,nema,8.1,3.8,x,x,2.6,0
31,Crataegus monogyna,1,2,B2,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,2,4,3,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",7,x,4.4,x,x,0
32,Ophrys grammica,3,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
