,vlaznost,kiselost,azot,svetlost,temperatura
1.0,1.1904761904761905,2.619047619047619,1.2857142857142858,2.619047619047619,2.857142857142857
2.0,1.0555555555555556,2.0555555555555554,1.0277777777777777,2.2222222222222223,2.1944444444444446
3.0,2.074074074074074,3.0,2.1481481481481484,3.3333333333333335,2.925925925925926
4.0,1.8620689655172413,2.896551724137931,2.1379310344827585,3.103448275862069,3.1379310344827585
5.0,1.6363636363636365,2.727272727272727,1.5454545454545454,2.727272727272727,2.3636363636363638
6.0,1.2156862745098038,2.0392156862745097,1.3725490196078431,2.0588235294117645,2.215686274509804
7.0,1.3888888888888888,2.2777777777777777,1.6111111111111112,2.7777777777777777,2.8333333333333335
8.0,2.0526315789473686,3.8947368421052633,1.9473684210526316,3.473684210526316,3.526315789473684
9.0,2.0,3.28,1.76,3.92,3.48
10.0,2.206896551724138,4.0344827586206895,2.0689655172413794,3.793103448275862,3.4482758620689653
11.0,1.8205128205128205,2.8974358974358974,1.9230769230769231,3.0256410256410255,2.7948717948717947
12.0,1.702127659574468,2.702127659574468,1.574468085106383,2.978723404255319,2.9574468085106385
13.0,1.9722222222222223,3.1666666666666665,2.0833333333333335,3.361111111111111,3.0555555555555554
14.0,1.2105263157894737,2.210526315789474,1.236842105263158,2.4210526315789473,2.5
15.0,1.4565217391304348,2.6739130434782608,1.391304347826087,2.5217391304347827,2.630434782608696
16.0,1.5263157894736843,2.5789473684210527,1.868421052631579,2.8157894736842106,2.6842105263157894
17.0,1.7575757575757576,2.4545454545454546,1.606060606060606,2.4242424242424243,2.5454545454545454
18.0,1.1428571428571428,2.5238095238095237,1.1904761904761905,2.6666666666666665,2.5714285714285716
19.0,2.1666666666666665,2.3333333333333335,2.0833333333333335,3.0,2.5
20.0,2.0,2.6285714285714286,2.257142857142857,2.857142857142857,2.7142857142857144
21.0,2.2142857142857144,2.642857142857143,2.1785714285714284,3.0,2.5357142857142856
22.0,1.5,2.0,1.6842105263157894,2.1052631578947367,1.8157894736842106
23.0,1.175,2.325,1.3,2.725,2.45
24.0,1.7592592592592593,2.7222222222222223,1.9814814814814814,3.0555555555555554,2.685185185185185
25.0,1.8205128205128205,2.6666666666666665,1.7692307692307692,2.6666666666666665,2.5384615384615383
26.0,1.6666666666666667,2.5555555555555554,1.5925925925925926,2.888888888888889,2.962962962962963
27.0,2.6545454545454548,3.1636363636363636,2.3636363636363638,3.4727272727272727,3.0727272727272728
28.0,2.1578947368421053,3.3859649122807016,2.210526315789474,3.280701754385965,3.4210526315789473
29.0,2.918918918918919,2.864864864864865,2.4594594594594597,3.2972972972972974,3.081081081081081
30.0,1.8214285714285714,3.2142857142857144,2.0714285714285716,2.892857142857143,3.4285714285714284
31.0,1.537037037037037,2.5555555555555554,1.7037037037037037,2.611111111111111,2.3703703703703702
32.0,1.0833333333333333,2.5833333333333335,1.4166666666666667,2.5555555555555554,2.8055555555555554
33.0,2.0697674418604652,3.302325581395349,2.13953488372093,2.9302325581395348,3.0232558139534884
34.0,2.317073170731707,2.7560975609756095,2.8292682926829267,3.097560975609756,3.0
35.0,1.7317073170731707,2.8780487804878048,1.7804878048780488,2.8292682926829267,2.8048780487804876
36.0,1.7916666666666667,2.8333333333333335,1.9791666666666667,3.1458333333333335,2.7916666666666665
37.0,1.9534883720930232,2.9069767441860463,1.930232558139535,2.6744186046511627,2.9069767441860463
38.0,2.1,2.8,2.275,2.9,2.65
39.0,2.1621621621621623,3.5945945945945947,2.135135135135135,3.2432432432432434,3.3513513513513513
40.0,2.127659574468085,3.425531914893617,2.297872340425532,3.276595744680851,3.4680851063829787
41.0,1.6111111111111112,1.4444444444444444,1.1111111111111112,1.2222222222222223,1.5
42.0,3.3448275862068964,3.3448275862068964,2.896551724137931,2.3448275862068964,3.0689655172413794
43.0,2.8636363636363638,3.3863636363636362,2.8636363636363638,3.090909090909091,3.340909090909091
44.0,2.739130434782609,3.6956521739130435,2.5652173913043477,3.0869565217391304,3.260869565217391
45.0,1.8928571428571428,2.4285714285714284,1.6071428571428572,2.25,2.1785714285714284
46.0,1.9090909090909092,3.022727272727273,2.4318181818181817,3.477272727272727,3.1818181818181817
47.0,1.5172413793103448,3.293103448275862,1.9137931034482758,3.6551724137931036,3.3620689655172415
48.0,2.740740740740741,3.111111111111111,2.7777777777777777,2.5185185185185186,2.925925925925926
49.0,3.35,3.3,3.05,2.4,3.15
50.0,2.9473684210526314,3.236842105263158,2.736842105263158,2.8421052631578947,2.9473684210526314
51.0,2.707317073170732,2.6341463414634148,2.3902439024390243,2.4878048780487805,2.4878048780487805
52.0,3.1666666666666665,3.1666666666666665,3.433333333333333,3.1666666666666665,3.3
53.0,1.9565217391304348,3.0,1.8478260869565217,2.9565217391304346,2.869565217391304
54.0,1.697674418604651,2.813953488372093,1.5813953488372092,2.86046511627907,2.627906976744186
55.0,2.1025641025641026,3.6923076923076925,2.3846153846153846,3.2564102564102564,3.1538461538461537
56.0,1.7959183673469388,3.122448979591837,2.0408163265306123,3.061224489795918,2.7551020408163267
57.0,2.5217391304347827,2.6956521739130435,2.282608695652174,2.782608695652174,2.4782608695652173
58.0,2.0,2.5686274509803924,1.6862745098039216,2.6470588235294117,2.4901960784313726
59.0,2.35,1.575,1.825,2.45,1.825
60.0,1.4,1.7142857142857142,1.2571428571428571,2.5142857142857142,2.142857142857143
61.0,1.5777777777777777,1.6444444444444444,1.4,2.0,1.7777777777777777
62.0,2.2325581395348837,2.4186046511627906,2.0,3.13953488372093,2.627906976744186
63.0,1.3846153846153846,0.7692307692307693,0.9230769230769231,0.9230769230769231,1.0769230769230769
64.0,2.5,2.2777777777777777,2.2777777777777777,1.1111111111111112,1.7777777777777777
65.0,2.116279069767442,1.697674418604651,1.7209302325581395,2.9302325581395348,2.2093023255813953
66.0,3.2884615384615383,2.519230769230769,2.5384615384615383,2.576923076923077,2.269230769230769
67.0,1.775,1.725,1.475,1.85,1.65
68.0,2.62,2.5,2.58,2.66,2.5
69.0,1.4285714285714286,1.5714285714285714,1.2857142857142858,1.2857142857142858,1.5
70.0,1.6744186046511629,1.9069767441860466,1.6744186046511629,1.813953488372093,1.7209302325581395
71.0,1.6818181818181819,2.909090909090909,1.9772727272727273,3.0,2.7954545454545454
